,date,price
0,20150128  06:30:00,204.08
1,20150128  06:31:00,204.12
2,20150128  06:32:00,204.06
3,20150128  06:33:00,203.96
4,20150128  06:34:00,203.77
5,20150128  06:35:00,203.63
6,20150128  06:36:00,203.58
7,20150128  06:37:00,203.7
8,20150128  06:38:00,203.69
9,20150128  06:39:00,203.69
10,20150128  06:40:00,203.8
11,20150128  06:41:00,203.82
12,20150128  06:42:00,203.76
13,20150128  06:43:00,203.78
14,20150128  06:44:00,203.65
15,20150128  06:45:00,203.64
16,20150128  06:46:00,203.67
17,20150128  06:47:00,203.8
18,20150128  06:48:00,203.73
19,20150128  06:49:00,203.76
20,20150128  06:50:00,203.88
21,20150128  06:51:00,203.91
22,20150128  06:52:00,203.99
23,20150128  06:53:00,203.91
24,20150128  06:54:00,203.93
25,20150128  06:55:00,203.93
26,20150128  06:56:00,203.84
27,20150128  06:57:00,203.85
28,20150128  06:58:00,203.85
29,20150128  06:59:00,203.68
30,20150128  07:00:00,203.76
31,20150128  07:01:00,203.78
32,20150128  07:02:00,203.75
33,20150128  07:03:00,203.75
34,20150128  07:04:00,203.76
35,20150128  07:05:00,203.86
36,20150128  07:06:00,203.84
37,20150128  07:07:00,203.92
38,20150128  07:08:00,203.9
39,20150128  07:09:00,203.78
40,20150128  07:10:00,203.78
41,20150128  07:11:00,203.82
42,20150128  07:12:00,203.91
43,20150128  07:13:00,203.82
44,20150128  07:14:00,203.68
45,20150128  07:15:00,203.58
46,20150128  07:16:00,203.42
47,20150128  07:17:00,203.52
48,20150128  07:18:00,203.55
49,20150128  07:19:00,203.46
50,20150128  07:20:00,203.54
51,20150128  07:21:00,203.53
52,20150128  07:22:00,203.57
53,20150128  07:23:00,203.51
54,20150128  07:24:00,203.57
55,20150128  07:25:00,203.57
56,20150128  07:26:00,203.47
57,20150128  07:27:00,203.46
58,20150128  07:28:00,203.53
59,20150128  07:29:00,203.43
60,20150128  07:30:00,203.5
61,20150128  07:31:00,203.44
62,20150128  07:32:00,203.37
63,20150128  07:33:00,203.17
64,20150128  07:34:00,203.06
65,20150128  07:35:00,203.08
66,20150128  07:36:00,203.09
67,20150128  07:37:00,203.1
68,20150128  07:38:00,202.92
69,20150128  07:39:00,202.98
70,20150128  07:40:00,203.03
71,20150128  07:41:00,203.03
72,20150128  07:42:00,203.02
73,20150128  07:43:00,202.83
74,20150128  07:44:00,202.71
75,20150128  07:45:00,202.68
76,20150128  07:46:00,202.54
77,20150128  07:47:00,202.69
78,20150128  07:48:00,202.68
79,20150128  07:49:00,202.61
80,20150128  07:50:00,202.75
81,20150128  07:51:00,202.71
82,20150128  07:52:00,202.59
83,20150128  07:53:00,202.69
84,20150128  07:54:00,202.59
85,20150128  07:55:00,202.32
86,20150128  07:56:00,202.35
87,20150128  07:57:00,202.31
88,20150128  07:58:00,202.37
89,20150128  07:59:00,202.37
90,20150128  08:00:00,202.41
91,20150128  08:01:00,202.48
92,20150128  08:02:00,202.45
93,20150128  08:03:00,202.54
94,20150128  08:04:00,202.61
95,20150128  08:05:00,202.72
96,20150128  08:06:00,202.65
97,20150128  08:07:00,202.72
98,20150128  08:08:00,202.69
99,20150128  08:09:00,202.8
100,20150128  08:10:00,202.74
101,20150128  08:11:00,202.69
